method,metric,mean,std,n,mean_pm_std
dp_kfc,oracle_A_diag_new_conv1,,,0,N/A
dp_kfc,oracle_A_diag_new_conv2,,,0,N/A
dp_kfc,oracle_A_diag_new_fc1,,,0,N/A
dp_kfc,oracle_A_diag_new_fc2,,,0,N/A
dp_kfc,oracle_A_diag_old_conv1,,,0,N/A
dp_kfc,oracle_A_diag_old_conv2,,,0,N/A
dp_kfc,oracle_A_diag_old_fc1,,,0,N/A
dp_kfc,oracle_A_diag_old_fc2,,,0,N/A
dp_kfc,oracle_A_diag_raw_conv1,,,0,N/A
dp_kfc,oracle_A_diag_raw_conv2,,,0,N/A
dp_kfc,oracle_A_diag_raw_fc1,,,0,N/A
dp_kfc,oracle_A_diag_raw_fc2,,,0,N/A
dp_kfc,oracle_R_diag_new_conv1,,,0,N/A
dp_kfc,oracle_R_diag_new_conv2,,,0,N/A
dp_kfc,oracle_R_diag_new_fc1,,,0,N/A
dp_kfc,oracle_R_diag_new_fc2,,,0,N/A
dp_kfc,oracle_R_diag_old_conv1,,,0,N/A
dp_kfc,oracle_R_diag_old_conv2,,,0,N/A
dp_kfc,oracle_R_diag_old_fc1,,,0,N/A
dp_kfc,oracle_R_diag_old_fc2,,,0,N/A
dp_kfc,oracle_R_full_new_conv1,,,0,N/A
dp_kfc,oracle_R_full_new_conv2,,,0,N/A
dp_kfc,oracle_R_full_new_fc1,,,0,N/A
dp_kfc,oracle_R_full_new_fc2,,,0,N/A
dp_kfc,oracle_R_full_old_conv1,,,0,N/A
dp_kfc,oracle_R_full_old_conv2,,,0,N/A
dp_kfc,oracle_R_full_old_fc1,,,0,N/A
dp_kfc,oracle_R_full_old_fc2,,,0,N/A
dp_kfc,oracle_S_full_new_conv1,,,0,N/A
dp_kfc,oracle_S_full_new_conv2,,,0,N/A
dp_kfc,oracle_S_full_new_fc1,,,0,N/A
dp_kfc,oracle_S_full_new_fc2,,,0,N/A
dp_kfc,oracle_S_full_old_conv1,,,0,N/A
dp_kfc,oracle_S_full_old_conv2,,,0,N/A
dp_kfc,oracle_S_full_old_fc1,,,0,N/A
dp_kfc,oracle_S_full_old_fc2,,,0,N/A
dp_kfc,oracle_S_full_raw_conv1,,,0,N/A
dp_kfc,oracle_S_full_raw_conv2,,,0,N/A
dp_kfc,oracle_S_full_raw_fc1,,,0,N/A
dp_kfc,oracle_S_full_raw_fc2,,,0,N/A
dp_kfc,oracle_private_delta_stale_diag_conv1,,,0,N/A
dp_kfc,oracle_private_delta_stale_diag_conv2,,,0,N/A
dp_kfc,oracle_private_delta_stale_diag_fc1,,,0,N/A
dp_kfc,oracle_private_delta_stale_diag_fc2,,,0,N/A
dp_kfc,oracle_private_delta_stale_full_conv1,,,0,N/A
dp_kfc,oracle_private_delta_stale_full_conv2,,,0,N/A
dp_kfc,oracle_private_delta_stale_full_fc1,,,0,N/A
dp_kfc,oracle_private_delta_stale_full_fc2,,,0,N/A
dp_kfc,peak_cuda_memory,175031808.0,,1,175031808.0
dp_kfc,peak_cuda_memory_allocated,175031808.0,,1,175031808.0
dp_kfc,peak_cuda_memory_core,175031808.0,,1,175031808.0
dp_kfc,peak_cuda_memory_overall,175031808.0,,1,175031808.0
dp_kfc,peak_cuda_memory_reserved,222298112.0,,1,222298112.0
dp_kfc,preconditioner_state_bytes,10069164.0,,1,10069164.0
dp_kfc,refresh_A_new_diag_conv1,,,0,N/A
dp_kfc,refresh_A_new_diag_conv2,,,0,N/A
dp_kfc,refresh_A_new_diag_fc1,,,0,N/A
dp_kfc,refresh_A_new_diag_fc2,,,0,N/A
dp_kfc,refresh_A_old_diag_conv1,,,0,N/A
dp_kfc,refresh_A_old_diag_conv2,,,0,N/A
dp_kfc,refresh_A_old_diag_fc1,,,0,N/A
dp_kfc,refresh_A_old_diag_fc2,,,0,N/A
dp_kfc,refresh_S_new_full_conv1,,,0,N/A
dp_kfc,refresh_S_new_full_conv2,,,0,N/A
dp_kfc,refresh_S_new_full_fc1,,,0,N/A
dp_kfc,refresh_S_new_full_fc2,,,0,N/A
dp_kfc,refresh_S_old_full_conv1,,,0,N/A
dp_kfc,refresh_S_old_full_conv2,,,0,N/A
dp_kfc,refresh_S_old_full_fc1,,,0,N/A
dp_kfc,refresh_S_old_full_fc2,,,0,N/A
dp_kfc,refresh_delta_stale_diag_conv1,,,0,N/A
dp_kfc,refresh_delta_stale_diag_conv2,,,0,N/A
dp_kfc,refresh_delta_stale_diag_fc1,,,0,N/A
dp_kfc,refresh_delta_stale_diag_fc2,,,0,N/A
dp_kfc,refresh_delta_stale_full_conv1,,,0,N/A
dp_kfc,refresh_delta_stale_full_conv2,,,0,N/A
dp_kfc,refresh_delta_stale_full_fc1,,,0,N/A
dp_kfc,refresh_delta_stale_full_fc2,,,0,N/A
dp_kfc,total_refresh_time,0.09298043977469206,,1,0.09298043977469206
dp_kfc,wall_time,1.6245203902944922,,1,1.6245203902944922
