contrast,metric,seed,difference,mean,sd,improvement_direction
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,42,0.8023268151931628,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,7,0.7658833295225801,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,91,0.567137596680412,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,aggregate,,0.711782580465385,0.12658459784891612,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,42,0.0125114823118059,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,7,0.010214902636719399,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,91,0.0070777310796296,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,aggregate,,0.0099347053427183,0.002727690599384123,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,42,14.677021377338338,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,7,16.375503891062035,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,91,16.153938237628395,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,aggregate,,15.735487835342923,0.9233289049607118,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,42,-0.009159889266651455,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,7,-0.0071054185305884365,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,91,-0.004600604538494202,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,aggregate,,-0.0069553041119113646,0.0022833462422775608,positive difference improves
