seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,16,17,0.0008584532561163062,0.0009867961525545994,True,0.8699398086362198,0.060510795291117955
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,17,18,0.0019166704306568028,0.0008085738750716807,True,2.370433289706384,0.3748277376258369
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,18,19,0.0008165676901099835,0.0007585126213257088,True,1.0765380392521453,0.03202938013761039
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,19,20,0.0011392961093801327,0.0006238589306287713,True,1.8262079028537197,0.2615502178436243
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,20,21,0.0011964474714479662,0.0004978356441619783,True,2.403298127561722,0.38080764809227835
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,21,22,0.00012757196221879316,0.0005108409388366238,True,0.24972932378779647,0.6025304588040247
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,22,23,0.0004728635926692056,0.0004319529226296635,True,1.094710946254245,0.039299460711558744
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,0,1,3.960057531144801,3.276566494440991,True,1.2085997759738487,0.08228250941158512
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,1,2,3.5668577742084837,2.242060262295825,True,1.5908839892448263,0.20163851109360725
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,2,3,2.047772661752842,1.8364485154427375,True,1.1150721866325546,0.04730298329574907
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,3,4,2.0231803684489402,1.500740436671696,True,1.3481214465946543,0.12972901772608808
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,4,5,1.6428091148114534,1.3437520128185882,True,1.2225537890474134,0.08726797599408431
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,5,6,1.1834927444978507,1.1473275752358607,True,1.031521223792216,0.013478168112387995
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,6,7,1.3311932406577895,0.9667036648912286,True,1.3770437508453768,0.1389477386947455
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,7,8,1.1070155926600636,0.7419261092695738,True,1.4920833474238024,0.17379308340155106
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,8,9,0.8107945567512848,0.6099224519062331,True,1.3293404009267935,0.12363620390341652
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,9,10,0.5982909586911048,0.4134358370837861,True,1.4471192505013937,0.1605043208224091
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,10,11,0.38429587032507345,0.28980268073731014,True,1.3260604399771445,0.12256331905394327
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,11,12,0.2762162233288597,0.21090144311784917,True,1.3096933773682782,0.11716963145434134
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,12,13,0.18715197725638189,0.13475869681716626,True,1.3887933148411205,0.14263761729771057
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,13,14,0.14340390306577974,0.09591528649779331,True,1.495109990304611,0.17467314344656124
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,14,15,0.10098959054052553,0.060799565060276534,True,1.661024884641933,0.22037613888229202
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,15,16,0.06399716855924072,0.044462214503616024,True,1.4393607982354535,0.15816967026903345
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,16,17,0.04986517103029394,0.03154812315867868,True,1.5806065793354926,0.19882378537440168
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,17,18,0.033632598417018655,0.026735471786613476,True,1.2579766194310658,0.09967256945071898
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,18,19,0.02735962093551494,0.02384480505332249,True,1.147403842234504,0.05971629984174156
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,19,20,0.023326505393159377,0.019189803000307377,True,1.2155677363017088,0.08477916448121461
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,20,21,0.021151708883951983,0.014799486656104146,True,1.4292190922195143,0.15509880909085583
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,21,22,0.013646164979635956,0.015483460374842028,True,0.8813381924500958,0.05485740948649156
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc2,22,23,0.018025214918396544,0.012583574572143985,True,1.4324399490029338,0.15607642445212405
