window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,58,10,0.004372357826634412,0.003922979746353698,False,0.047099630734075415,0.12223195767369077,0.1007124192064768
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,59,10,0.005119182079966219,-0.031404067150785045,True,,0.12223195767369077,0.11790138256801051
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,60,10,0.004434219605331319,0.024048184408816866,False,0.7342650957536243,0.12478571358626178,0.1042688271350564
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,61,10,0.004265617340652828,-0.046962193822993804,True,,0.12478571358626178,0.10030682423407042
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,62,10,0.003727957021280977,-0.011117161792114848,True,,0.12478571358626178,0.08767090966962265
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,63,10,0.004559469333137312,-0.003489089827989975,True,,0.12478571358626178,0.10721195068891363
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,64,10,0.004098600532062556,0.04328494569788702,False,1.0237012849230185,0.12478571358626178,0.09638187497449618
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,65,10,0.00383352183088318,-0.01456787408681891,True,,0.12685570271830926,0.09164659827217678
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,66,10,0.003515255276698105,-0.03572062741696187,True,,0.12685570271830926,0.08404211244001272
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,67,10,0.003658802069319562,0.009601680821796348,False,0.41900834905699247,0.12685570271830926,0.0874720344547337
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,68,10,0.0034630040062924687,0.03351967607030415,False,0.9858468190364429,0.12685570271830926,0.08279357680413102
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,69,10,0.00376013258621403,-0.012673824627047763,True,,0.12685570271830926,0.08989314340068741
