method,metric,mean,std,n,mean_pm_std
syn_diag,oracle_A_diag_old_fc1,12.268042355150072,0.42235208027097715,3,12.268 ± 0.422352
syn_diag,oracle_A_diag_old_fc2,12.72551345677067,0.09192444476681061,3,12.7255 ± 0.0919244
syn_diag,oracle_A_diag_raw_conv1,2.42507890303113,0.8839545606808162,3,2.42508 ± 0.883955
syn_diag,oracle_A_diag_raw_conv2,2.8983972313996933,1.4005065838570978,3,2.8984 ± 1.40051
syn_diag,oracle_A_diag_raw_fc1,10.365245486166097,0.05316210779614843,3,10.3652 ± 0.0531621
syn_diag,oracle_A_diag_raw_fc2,12.387772573629903,0.06637416268903733,3,12.3878 ± 0.0663742
syn_diag,oracle_R_diag_new_conv1,0.6334611318304596,0.1218967896875442,3,0.633461 ± 0.121897
syn_diag,oracle_R_diag_new_conv2,0.6101074337817892,0.13858560853728713,3,0.610107 ± 0.138586
syn_diag,oracle_R_diag_new_fc1,1.1740751642011151,0.04126978828984337,3,1.17408 ± 0.0412698
syn_diag,oracle_R_diag_new_fc2,1.0224887842015669,0.005952933640053679,3,1.02249 ± 0.00595293
syn_diag,oracle_R_diag_old_conv1,0.6349702090797195,0.12272848016237826,3,0.63497 ± 0.122728
syn_diag,oracle_R_diag_old_conv2,0.6158521045683353,0.1366377190363542,3,0.615852 ± 0.136638
syn_diag,oracle_R_diag_old_fc1,1.1784352214411906,0.03903297262100805,3,1.17844 ± 0.039033
syn_diag,oracle_R_diag_old_fc2,1.0245394263576257,0.006421708357413259,3,1.02454 ± 0.00642171
syn_diag,oracle_R_full_new_conv1,0.9483346948914709,0.05020936428549993,3,0.948335 ± 0.0502094
syn_diag,oracle_R_full_new_conv2,1.0277428883117463,0.006786801278324046,3,1.02774 ± 0.0067868
syn_diag,oracle_R_full_new_fc1,0.998081608266672,0.005647961206610541,3,0.998082 ± 0.00564796
syn_diag,oracle_R_full_new_fc2,1.0061776999248013,0.017406822863907503,3,1.00618 ± 0.0174068
syn_diag,oracle_R_full_old_conv1,0.9495496670202851,0.04929337813826407,3,0.94955 ± 0.0492934
syn_diag,oracle_R_full_old_conv2,1.027167403358651,0.006251038511431845,3,1.02717 ± 0.00625104
syn_diag,oracle_R_full_old_fc1,0.9943094985506807,0.00920832307019568,3,0.994309 ± 0.00920832
syn_diag,oracle_R_full_old_fc2,1.0050444736393753,0.02408146145395524,3,1.00504 ± 0.0240815
syn_diag,oracle_S_full_new_conv1,6.587456603395478,0.32019086509666606,3,6.58746 ± 0.320191
syn_diag,oracle_S_full_new_conv2,9.727872367389356,0.08626535859694151,3,9.72787 ± 0.0862654
syn_diag,oracle_S_full_new_fc1,8.42957583274742,0.09508663959401527,3,8.42958 ± 0.0950866
syn_diag,oracle_S_full_new_fc2,10.174512447073793,0.15925030487735453,3,10.1745 ± 0.15925
syn_diag,oracle_S_full_old_conv1,6.587247604280297,0.31995830178685836,3,6.58725 ± 0.319958
syn_diag,oracle_S_full_old_conv2,9.733311938563409,0.08774389287399453,3,9.73331 ± 0.0877439
syn_diag,oracle_S_full_old_fc1,8.396696728907177,0.07880931979686528,3,8.3967 ± 0.0788093
syn_diag,oracle_S_full_old_fc2,10.128501315570924,0.2571783822183831,3,10.1285 ± 0.257178
syn_diag,oracle_S_full_raw_conv1,6.979402178949372,0.6855113591151581,3,6.9794 ± 0.685511
syn_diag,oracle_S_full_raw_conv2,9.463797896107643,0.11019478338359123,3,9.4638 ± 0.110195
syn_diag,oracle_S_full_raw_fc1,8.454501914363686,0.07341298005477566,3,8.4545 ± 0.073413
syn_diag,oracle_S_full_raw_fc2,10.118595874877967,0.06275862258324559,3,10.1186 ± 0.0627586
syn_diag,oracle_private_delta_stale_diag_conv1,-0.003005728531925817,0.01685622692928967,3,-0.00300573 ± 0.0168562
syn_diag,oracle_private_delta_stale_diag_conv2,0.01956766907046685,0.00864132302607842,3,0.0195677 ± 0.00864132
syn_diag,oracle_private_delta_stale_diag_fc1,0.03308059125410135,0.004115606937822323,3,0.0330806 ± 0.00411561
syn_diag,oracle_private_delta_stale_diag_fc2,0.04974210140075105,0.010596957148959623,3,0.0497421 ± 0.010597
syn_diag,oracle_private_delta_stale_full_conv1,0.003819909180052683,0.0043374335412576185,3,0.00381991 ± 0.00433743
syn_diag,oracle_private_delta_stale_full_conv2,0.0014319513227623335,0.0008423018189409754,3,0.00143195 ± 0.000842302
syn_diag,oracle_private_delta_stale_full_fc1,-0.011667527858719483,0.01699180510532934,3,-0.0116675 ± 0.0169918
syn_diag,oracle_private_delta_stale_full_fc2,-0.017858861843140617,0.04425870759491484,3,-0.0178589 ± 0.0442587
syn_diag,peak_cuda_memory,699730944.0,0.0,3,6.99731e+08 ± 0
syn_diag,peak_cuda_memory_allocated,699730944.0,0.0,3,6.99731e+08 ± 0
syn_diag,peak_cuda_memory_core,699730944.0,0.0,3,6.99731e+08 ± 0
syn_diag,peak_cuda_memory_overall,699730944.0,0.0,3,6.99731e+08 ± 0
syn_diag,peak_cuda_memory_reserved,1090519040.0,0.0,3,1.09052e+09 ± 0
syn_diag,preconditioner_state_bytes,827688.0,0.0,3,827688 ± 0
syn_diag,refresh_A_new_diag_conv1,0.09296474864841682,0.006508506675328894,3,0.0929647 ± 0.00650851
syn_diag,refresh_A_new_diag_conv2,0.13830944348370153,0.047200376354408526,3,0.138309 ± 0.0472004
syn_diag,refresh_A_new_diag_fc1,0.5383051091416359,0.4786958089934593,3,0.538305 ± 0.478696
syn_diag,refresh_A_new_diag_fc2,1.281679399232835,0.8482233056979108,3,1.28168 ± 0.848223
syn_diag,refresh_A_old_diag_conv1,0.10434868503632953,0.011573017000005213,3,0.104349 ± 0.011573
syn_diag,refresh_A_old_diag_conv2,0.16839684661506946,0.05587557210860032,3,0.168397 ± 0.0558756
syn_diag,refresh_A_old_diag_fc1,0.5528970697594547,0.46391130566775435,3,0.552897 ± 0.463911
syn_diag,refresh_A_old_diag_fc2,1.5112372865732044,0.9598077221975772,3,1.51124 ± 0.959808
syn_diag,refresh_S_new_full_conv1,2.3156412559594806,0.07770056296773882,3,2.31564 ± 0.0777006
syn_diag,refresh_S_new_full_conv2,1.820035561328661,0.11166359580071208,3,1.82004 ± 0.111664
syn_diag,refresh_S_new_full_fc1,1.9479255258357029,0.03324991236802815,3,1.94793 ± 0.0332499
syn_diag,refresh_S_new_full_fc2,3.28733651913698,0.06467717613002447,3,3.28734 ± 0.0646772
syn_diag,refresh_S_old_full_conv1,2.315062195203288,0.07762123481521484,3,2.31506 ± 0.0776212
syn_diag,refresh_S_old_full_conv2,1.819670416651637,0.10843618412358062,3,1.81967 ± 0.108436
syn_diag,refresh_S_old_full_fc1,1.954477514418478,0.018636726748952854,3,1.95448 ± 0.0186367
syn_diag,refresh_S_old_full_fc2,3.3239870486218375,0.03680523566766691,3,3.32399 ± 0.0368052
syn_diag,refresh_delta_stale_diag_conv1,0.012047630553856666,0.010004553923375943,3,0.0120476 ± 0.0100046
syn_diag,refresh_delta_stale_diag_conv2,0.026956944361303387,0.003272509083951052,3,0.0269569 ± 0.00327251
syn_diag,refresh_delta_stale_diag_fc1,0.04150981872899343,0.013678215067960369,3,0.0415098 ± 0.0136782
syn_diag,refresh_delta_stale_diag_fc2,0.09422423626772701,0.010829564964595155,3,0.0942242 ± 0.0108296
syn_diag,refresh_delta_stale_full_conv1,0.0016541977460936665,0.0037991086960159296,3,0.0016542 ± 0.00379911
syn_diag,refresh_delta_stale_full_conv2,0.0007797811120792333,0.0012683202802686846,3,0.000779781 ± 0.00126832
syn_diag,refresh_delta_stale_full_fc1,-0.0015226152965867835,0.0014300054141122883,3,-0.00152262 ± 0.00143001
syn_diag,refresh_delta_stale_full_fc2,0.0387429630051734,0.014086422367447622,3,0.038743 ± 0.0140864
syn_diag,total_refresh_time,12.877781030721962,0.1437881005768184,3,12.8778 ± 0.143788
syn_diag,wall_time,270.1443684970339,7.50954204752938,3,270.144 ± 7.50954
dp_kfc,G_diag,0.5350027906237933,0.027082441664991228,3,0.535003 ± 0.0270824
dp_kfc,G_diag_new,0.5350027906237933,0.027082441664991228,3,0.535003 ± 0.0270824
dp_kfc,G_diag_old,0.5361918605722368,0.027857339309719266,3,0.536192 ± 0.0278573
dp_kfc,G_full,1.036895500404317,0.004369560548858942,3,1.0369 ± 0.00436956
dp_kfc,G_full_new,1.036895500404317,0.004369560548858942,3,1.0369 ± 0.00436956
dp_kfc,G_full_old,1.0354165430535247,0.005460036973521937,3,1.03542 ± 0.00546004
