pair,metric,seed,delta,mean,std,n
dp_kfc - dp_sgd,late_norm_cv_q25,all,,0.031461196706521394,,1
dp_kfc - dp_sgd,late_norm_cv_q75,42,0.07548381532336251,,,
dp_kfc - dp_sgd,late_norm_cv_q75,all,,0.07548381532336251,,1
dp_kfc - dp_sgd,late_shape_error,42,0.03286910862627179,,,
dp_kfc - dp_sgd,late_shape_error,all,,0.03286910862627179,,1
dp_kfc - dp_sgd,late_shape_error_iqr,42,0.03609482444228396,,,
dp_kfc - dp_sgd,late_shape_error_iqr,all,,0.03609482444228396,,1
dp_kfc - dp_sgd,late_shape_error_q25,42,0.01482169640512987,,,
dp_kfc - dp_sgd,late_shape_error_q25,all,,0.01482169640512987,,1
dp_kfc - dp_sgd,late_shape_error_q75,42,0.050916520847413826,,,
dp_kfc - dp_sgd,late_shape_error_q75,all,,0.050916520847413826,,1
dp_kfc - dp_sgd,late_snr,42,6.423957749300199e-06,,,
dp_kfc - dp_sgd,late_snr,all,,6.423957749300199e-06,,1
dp_kfc - dp_sgd,late_snr_iqr,42,-7.522903281560007e-05,,,
dp_kfc - dp_sgd,late_snr_iqr,all,,-7.522903281560007e-05,,1
dp_kfc - dp_sgd,late_snr_q25,42,4.403847415710002e-05,,,
dp_kfc - dp_sgd,late_snr_q25,all,,4.403847415710002e-05,,1
dp_kfc - dp_sgd,late_snr_q75,42,-3.119055865850005e-05,,,
dp_kfc - dp_sgd,late_snr_q75,all,,-3.119055865850005e-05,,1
dp_kfc - dp_sgd,mean_refresh_time,42,0.05781196430325508,,,
dp_kfc - dp_sgd,mean_refresh_time,all,,0.05781196430325508,,1
dp_kfc - dp_sgd,number_of_refreshes,42,2.0,,,
dp_kfc - dp_sgd,number_of_refreshes,all,,2.0,,1
dp_kfc - dp_sgd,oracle_A_diag_new_conv1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_new_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_new_conv2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_new_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_new_fc1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_new_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_new_fc2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_new_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_old_conv1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_old_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_old_conv2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_old_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_old_fc1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_old_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_old_fc2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_old_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_raw_conv1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_raw_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_raw_conv2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_raw_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_A_diag_raw_fc1,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_raw_fc1,all,,,,0
