seed,family,alpha,run_id,layer,filtered_gradient_norm,filter_gradient_norm_ratio,parameter_update_norm,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,signal_retention,noise_retention,cosine_filtered,snr_gain_db,relmse_filtered,beta_train,clean_gradient_distortion
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,fc1,153.19531742214724,0.5000026682565062,0.3125622687574393,153.19531742214727,21.613276706915588,7.440549331965095,312.56225425476106,0.26421707710031417,0.250002547970752,0.001423246491010925,0.23958744734464577,108912.0492199262,1.0,0.4875086033925646
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,fc2,12.30147462939648,0.5001173243756718,0.025000025715001525,12.30147462939648,1.714753974177883,0.5950307508206346,25.000024090169145,0.25687732624500936,0.2501192643553635,0.010314388223886351,0.1156929032334198,6398.009018960665,1.0,0.4933034802379185
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,conv1,2.2294944288700993,0.25000494992806543,0.008815595335501424,2.2294944288700993,0.3101760867771353,0.1074308660146294,8.815604079531106,0.06250636394869592,0.06250247421451365,0.04573420832670753,0.0002702737327952,7576.4647589313845,1.0,0.7499872727600878
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,conv2,11.64462579469876,0.2500014866139477,0.047533565516561446,11.64462579469876,1.6256696321069657,0.5626938383778839,47.533563805863935,0.06253061412054688,0.0625007430243657,0.0004537280317756,0.002075125621713525,9262.66169406064,1.0,0.7499387909116706
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,fc1,76.59860703625912,0.2500044298759999,0.3125622753414068,76.59860703625912,10.806759313574382,3.7203151991262495,312.56226027100746,0.07481181180132968,0.0625021066078674,0.0016360604648289001,0.7750958538039081,27226.949405036514,1.0,0.730912826142866
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,fc2,6.153780219047424,0.25018303339911324,0.02500329310204535,6.153780219047424,0.8580136773942123,0.29770178923176654,25.003292663104144,0.06782258848532005,0.06259308405501751,0.009685844546996124,0.3477085252823996,1602.9088590816868,1.0,0.7399676289259144
123,beta1,1.0,dp_fisher_wiener_beta1_adam,conv1,9.395370352171067e-05,1.0544830154544519e-05,0.008323821448479976,9.395370352171067e-05,1.4098072559045435e-05,4.728076238014508e-06,8.323822213555912,3.8946455921604145e-10,1.1186806483787953e-10,0.08202978190675202,5.411461788736975,0.9994298084053086,1.0,
123,beta1,1.0,dp_fisher_wiener_beta1_adam,conv2,0.0007287810091466249,1.5657972597183976e-05,0.04604102122464445,0.0007287810091466249,9.219023799181236e-05,3.460987187444003e-05,46.041021124039545,1.501410981263624e-08,2.474663920615567e-10,0.06098816774944235,17.859540908613344,0.999124619735865,1.0,
123,beta1,1.0,dp_fisher_wiener_beta1_adam,fc1,0.23742983813738713,0.0007749589901091751,0.2918533147430679,0.23742983813738713,0.027739285414437403,0.010539155979139351,291.8533161336985,0.002822320891093075,6.415529551621535e-07,0.0898864972300155,36.74194437251343,1.2827782787905357,1.0,
123,beta1,1.0,dp_fisher_wiener_beta1_adam,fc2,0.12529417256484326,0.005079737713377775,0.02726091178793758,0.12529417256484326,0.018820727527458725,0.00535496012554835,27.26091132638323,0.00578922345439235,3.015241482332124e-05,-0.04439423924771142,18.36174202877672,1.3631882724627171,1.0,
