seed,run_id,learning_rate,interval_index,layer,n_steps,gamma_model,gamma_oracle,gamma_dp_raw,gamma_dp_valid,model_to_oracle_ratio,model_multiplicative_error,clean_signal_energy_in,clean_signal_energy_filtered,signal_retention_oracle,signal_retention_after_model_gamma,noise_energy_in,noise_energy_filtered,noise_retention_oracle,noise_retention_after_model_gamma,dp_signal_energy_in,dp_signal_energy_out
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,13,conv2,50,5.049767021352343,5.854590606133691,12.061846886913173,True,0.8625311932249957,1.1593783597101106,0.007952094628956045,0.00023200026253109645,0.029174736136352235,0.7439600592861348,4.053227229747018,0.0018227766594494316,0.00044970996100882304,0.011467670099569947,0.02177342788520968,0.0001496577407632154
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,14,conv2,50,3.829995942625397,4.312936271132678,,False,0.8880251647260141,1.12609421413022,0.006082796936981918,0.00032700714100334884,0.053759338736959206,0.7885886931866644,4.025336851963631,0.0034234536516305446,0.0008504763147860591,0.012475525581609562,-0.008295601450245896,0.0003388476263140607
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,15,conv2,50,3.781455094841012,4.263083934411932,,False,0.8870233739281613,1.1273660079232461,0.005248064078945327,0.0002887695275533213,0.055024009465096634,0.7868104658948986,4.024290099636458,0.003268681648541664,0.0008122380761856474,0.011614519286287036,-0.009238543316413966,0.00012729100317314694
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,16,conv2,50,3.753966002527067,4.171601196266307,2.938931020069013,True,0.8998861170830437,1.1112517250976965,0.005157099872731204,0.0002963466180763809,0.05746381210171047,0.8097950237187974,4.036560880359884,0.0035303688122115097,0.0008745981831684292,0.012325065647049434,0.002990877638745351,0.00034627398115117227
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,17,conv2,50,19.93180974507788,22.08001876939644,,False,0.9027080073276007,1.1077779214127335,0.004991750544941385,1.02389164122084e-05,0.0020511674852391145,0.8148817464933674,4.019444118372984,0.00011311730216403959,2.8142523899505764e-05,0.011180378584875628,-0.013696450397042315,1.880821584524577e-06
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,18,conv2,50,19.676809627591155,21.3425427657375,,False,0.9219524516628613,1.0846546350588577,0.004503305027377052,9.886419713686525e-06,0.002195369768111148,0.8499963231271607,4.034126708760848,0.00012700579871708108,3.1482848181556776e-05,0.012189429582478904,-0.00037467968612121816,1.37006632875611e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,19,conv2,50,19.10262406218985,20.56234301001984,34.96624787056837,True,0.9290100866852243,1.0764145775511145,0.0043878719742518,1.0377882482688408e-05,0.0023651288240828855,0.8630597411628881,4.049213134290784,0.0001292518304091513,3.192023391275245e-05,0.011648020411438493,0.01649497046320629,1.3491290022479336e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,20,conv2,50,4.5952864569051455,4.909574732071191,,False,0.9359846234516003,1.0683936198784252,0.004119881416275796,0.0001709216062814205,0.04148702086574294,0.8760672153378342,4.0331938750229055,0.0022059813638780033,0.0005469564400410766,0.011549891877957097,-0.0014057997538684947,7.612727012704318e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,21,conv2,50,4.567262119222042,4.875121104172713,13.276505633661715,True,0.936851007724266,1.0674055871798989,0.0036924099264409246,0.00015535995710007111,0.042075490044471024,0.8776898106739728,4.055519128286675,0.00227495989412127,0.0005609540535153059,0.011701436073739642,0.02076028364356046,0.00011777841749480026
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,22,conv2,50,3.913460022916706,4.072005382386932,,False,0.9610645506128261,1.0405128348167108,0.003108702008941134,0.00018748322138915615,0.060309164677065805,0.9236450704446334,4.034457933736387,0.003392236227255667,0.000840815862495325,0.012877237327095475,-0.0009346784973062461,0.0004300353027242485
